order_id,order_date,quantity,category,status,unit_price,discount_pct,stock_left,buyer_name,is_vip,payment_method
100001,2024-01-01,1,Розы,completed,2352.04,0.0415,38,Ольга Козлова,0,card
100002,2024-01-01,1,Сборные букеты,completed,2456.2,0.0373,27,Мария Морозова,0,sbp
100003,2024-01-01,3,Розы,completed,2620.1,0.0797,21,Алина Соколова,0,cash
100004,2024-01-01,1,Розы,completed,2491.92,0.1291,29,Дарья Соколова,0,card
100005,2024-01-01,1,Тюльпаны,completed,1455.77,0.073,32,Алина Морозова,0,card
100006,2024-01-01,1,Тюльпаны,completed,1598.52,0.0466,12,Полина Попова,1,card
100007,2024-01-01,1,Тюльпаны,completed,1913.12,0.0448,21,Елена Новикова,0,cash
100008,2024-01-01,1,Сборные букеты,completed,2615.43,0.0473,48,Дарья Смирнова,0,card
100009,2024-01-01,1,Хризантемы,completed,1781.3,0.057,35,Наталья Петрова,0,card
100010,2024-01-01,1,Розы,completed,2097.33,0.0136,48,София Смирнова,0,sbp
100011,2024-01-01,2,Композиции,completed,3363.47,0.0372,43,София Петрова,0,card
100012,2024-01-01,1,Розы,completed,2456.11,0.0251,29,Наталья Козлова,0,card
100013,2024-01-02,2,Розы,completed,2384.53,0.037,27,Мария Петрова,0,card
100014,2024-01-02,1,Сборные букеты,completed,2932.99,0.0671,45,София Попова,0,card
100015,2024-01-02,1,Хризантемы,completed,1887.85,0.0632,42,София Козлова,0,card
100016,2024-01-02,2,Сборные букеты,completed,2580.96,0.1199,43,Елена Кузнецова,1,card
100017,2024-01-02,2,Хризантемы,completed,1951.13,0.0825,31,Мария Новикова,0,card
100018,2024-01-02,1,Розы,completed,2074.05,0.0061,35,Елена Петрова,0,card
100019,2024-01-03,1,Сборные букеты,completed,2878.26,0.0667,30,Дарья Козлова,0,card
100020,2024-01-03,1,Хризантемы,completed,1774.02,0.1067,32,Алина Морозова,1,card
100021,2024-01-03,3,Розы,pending,2414.33,0.0784,21,Дарья Кузнецова,0,sbp
100022,2024-01-03,1,Розы,completed,2135.2,0.0826,32,Полина Кузнецова,0,card
100023,2024-01-03,2,Сборные букеты,completed,3038.96,0.0806,29,Полина Козлова,0,card
100024,2024-01-03,1,Розы,completed,2251.0,0.0935,27,Алина Петрова,0,sbp
100025,2024-01-03,1,Сборные букеты,completed,2590.77,0.0632,42,Анна Лебедева,0,card
100026,2024-01-03,1,Розы,completed,2207.53,0.0633,16,Мария Козлова,0,card
100027,2024-01-03,1,Сборные букеты,completed,2802.11,0.0898,37,Мария Морозова,0,card
100028,2024-01-04,2,Сборные букеты,completed,2850.4,0.0368,20,Ирина Морозова,0,card
100029,2024-01-04,1,Сборные букеты,completed,2775.8,0.0306,23,Мария Смирнова,0,card
100030,2024-01-04,1,Тюльпаны,completed,1979.78,0.0541,24,Анна Козлова,0,card
100031,2024-01-04,1,Розы,completed,2756.16,0.0439,39,Алина Козлова,0,cash
100032,2024-01-04,2,Пионы,completed,3480.59,0.1001,4,Наталья Кузнецова,0,cash
100033,2024-01-04,2,Тюльпаны,completed,1857.31,0.1374,33,Елена Новикова,0,card
100034,2024-01-04,1,Розы,completed,2105.97,0.0253,34,Мария Козлова,0,card
100035,2024-01-04,2,Композиции,completed,3305.52,0.007,19,Мария Попова,0,card
100036,2024-01-04,2,Сборные букеты,completed,3018.37,0.027,33,Наталья Кузнецова,0,card
100037,2024-01-04,1,Сборные букеты,completed,2659.93,0.0294,18,Наталья Петрова,0,card
100038,2024-01-05,1,Розы,completed,2100.17,0.1307,32,Ольга Попова,0,cash
100039,2024-01-05,2,Сборные букеты,completed,2588.61,0.106,16,Ирина Иванова,0,card
100040,2024-01-05,1,Пионы,completed,3628.13,0.0224,58,София Петрова,1,card
100041,2024-01-05,1,Розы,completed,2448.52,0.1048,43,Ирина Лебедева,0,sbp
100042,2024-01-05,1,Тюльпаны,completed,2004.49,0.036,36,Дарья Смирнова,0,card
100043,2024-01-05,3,Тюльпаны,cancelled,1908.59,0.0315,18,София Соколова,0,cash
100044,2024-01-05,1,Розы,completed,2336.08,0.031,30,Полина Соколова,0,card
100045,2024-01-05,1,Тюльпаны,completed,1910.67,0.1045,30,Ирина Соколова,0,cash
100046,2024-01-05,1,Пионы,completed,3533.11,0.0427,36,Дарья Иванова,0,card
100047,2024-01-05,1,Композиции,completed,3276.71,0.0489,38,Елена Соколова,0,card
100048,2024-01-05,3,Пионы,completed,3704.19,0.0908,32,София Козлова,0,card
100049,2024-01-05,2,Сборные букеты,completed,2919.36,0.0205,35,Алина Новикова,0,card
100050,2024-01-05,1,Сборные букеты,completed,2699.87,0.0281,31,Елена Попова,0,card
100051,2024-01-05,1,Хризантемы,completed,1848.61,0.0139,37,София Попова,0,cash
100052,2024-01-05,1,Сборные букеты,completed,2823.88,0.0294,25,Елена Соколова,1,sbp
100053,2024-01-05,1,Розы,completed,1964.43,0.0151,20,Полина Лебедева,0,card
100054,2024-01-06,1,Розы,completed,2214.67,0.053,55,Алина Попова,0,card
100055,2024-01-06,1,Композиции,completed,2981.52,0.0507,38,Ирина Лебедева,0,card
100056,2024-01-06,2,Розы,completed,2229.45,0.0251,53,Ольга Козлова,0,card
100057,2024-01-06,1,Розы,completed,2224.47,0.0089,30,Дарья Козлова,0,cash
100058,2024-01-06,1,Хризантемы,completed,2113.89,0.0223,62,Дарья Лебедева,0,card
100059,2024-01-06,2,Розы,completed,2179.52,0.0922,32,Наталья Морозова,0,cash
100060,2024-01-06,1,Хризантемы,completed,1998.02,0.0489,47,Дарья Козлова,1,card
100061,2024-01-06,2,Сборные букеты,completed,2399.77,0.0926,31,Ольга Морозова,0,cash
100062,2024-01-06,1,Сборные букеты,completed,2611.33,0.0487,35,Елена Смирнова,0,cash
100063,2024-01-07,1,Хризантемы,completed,1820.81,0.0677,32,Дарья Лебедева,0,sbp
100064,2024-01-07,1,Сборные букеты,completed,2813.97,0.0298,27,Анна Лебедева,1,cash
100065,2024-01-07,1,Хризантемы,completed,1941.47,0.0677,45,Анна Кузнецова,1,card
100066,2024-01-07,1,Розы,completed,2459.54,0.0096,33,Ирина Соколова,0,card
100067,2024-01-07,2,Тюльпаны,completed,1893.28,0.1092,41,Наталья Попова,0,card
100068,2024-01-07,1,Сборные букеты,completed,2583.28,0.0713,44,Ольга Иванова,0,card
100069,2024-01-07,1,Розы,completed,2473.75,0.0666,50,Дарья Кузнецова,0,sbp
100070,2024-01-08,2,Хризантемы,pending,1827.91,0.0236,36,Мария Иванова,0,sbp
